175,19
138,4
136,7
144,13
164,9
162,4
48,11
60,14
95,15
135,17
200,3
108,10
72,12
171,15
72,7
88,19
102,7
78,6
47,10
3,18
95,12
23,15
186,20
157,18
6,4
198,10
8,9
12,2
168,20
10,2
94,11
30,7
163,18
5,15
130,18
25,10
91,19
14,20
184,12
182,5
101,18
126,13
19,9
153,20
67,16
4,2
12,3
146,11
180,2
27,10
124,3
7,2
124,1
69,16
180,19
130,10
54,10
97,2
170,8
170,5
110,10
55,17
76,8
93,1
11,11
176,5
107,9
111,2
169,1
96,10
147,8
140,20
2,6
28,9
7,1
26,2
139,3
73,3
130,10
18,5
194,8
0,13
75,8
28,15
83,13
200,6
191,18
21,18
99,16
121,2
24,5
87,4
13,11
40,4
108,17
75,4
130,19
175,19
115,19
173,14

84,18
196,8
184,19
193,6
86,9
29,6
71,7
155,19
54,15
102,18
173,15
19,17
142,19
4,16
14,18
121,3
93,10
60,15
52,9
158,9
154,13
24,17
147,5
148,8
50,7
10,9
193,13
166,11
144,6
32,13
111,12
88,12
164,15
70,17
32,14
122,15
43,15
198,15
126,14
25,4
29,6
132,3
195,14
41,15
115,20
114,14
103,14
94,13
8,15
61,16
95,14
80,13
190,10
161,11
33,3
82,10
86,4
58,3
20,17
54,18
10,15
110,14
20,5
102,6
182,17
198,7
112,10
193,13
42,6
175,4
53,17
56,4
5,5
67,2
105,20
78,3
24,5
113,13
66,17
68,8
93,12
13,16
67,4
5,8
26,18
180,17
84,4
121,5
164,18
74,5
197,11
35,13
182,9
97,7
69,2
51,8
76,4
44,19
136,20
0,3

170,12
98,20
131,6
35,6
104,14
83,7
18,14
44,1
156,3
142,17
147,15
195,12
3,4
188,19
1,4
199,9
131,5
137,3
128,17
174,6
93,18
5,10
8,5
169,20
166,18
79,16
110,20
31,9
22,3
109,12
80,20
180,3
171,8
189,11
31,7
66,11
84,17
160,12
45,4
88,19
88,7
113,13
107,15
114,16
89,12
44,11
40,3
47,4
75,10
167,12
121,18
167,8
26,20
38,12
56,2
167,12
61,16
140,5
181,10
40,2
140,3
140,19
135,10
181,19
165,9
24,17
181,15
0,10
105,9
107,4
173,14
185,1
67,9
105,17
71,12
116,19
165,15
169,15
187,5
37,2
20,17
2,16
1,4
193,18
59,10
138,4
